"glottocode","iso_code","language_name","CLF","longitude","latitude","area","continent","status","family","source"
"gand1255","lug","Ganda",FALSE,32.15153,0.66884,"Africa","Africa","not endangered","Atlantic-Congo","mcpherson_laura_descriptive_2008"
"gang1266","gnb","Gangte",TRUE,94.1681,24.5113,"Eurasia","Asia","threatened","Sino-Tibetan",NA
"gang1267","gcd","Ganggalida",FALSE,139.426,-17.5446,"Australia","Pacific","nearly extinct","Tangkic","keen_sandra_yukulta_1983"
"gang1272",NA,"Gangou",TRUE,NA,NA,"Eurasia",NA,"moribund","Sino-Tibetan","yongzhong_gangou_1997"
"gant1244","gao","Gants",FALSE,144.771,-5.28113,"Papunesia","Pacific","not endangered","Nuclear Trans New Guinea","daniels_don_gants_2015"
"gapa1238","pwg","Gapapaiwa",FALSE,149.854,-9.73317,"Papunesia","Pacific","not endangered","Austronesian","mcguckin_catherine_gapapaiwa_2002"
"gara1269","wrk","Garrwa",FALSE,137.72014,-17.4504,"Australia",NA,"moribund","Garrwan","mushin_grammar_2013"
"garh1243","gbm","Garhwali",FALSE,78.7201,30.5061,"Eurasia","Asia","threatened","Indo-European","chandola_anoop_chandra_syntactic_1966"
"gari1253","ilg","Garig-Ilgar",FALSE,132.182,-11.412,"Australia","Pacific","nearly extinct","Iwaidjan Proper","birch_bruce_gli_2010"
"gari1256","cab","Garifuna",FALSE,-86.9091,15.3529,"North America","Americas","not endangered","Arawakan","haurholm-larsen_steffen_grammar_2016"
"garo1247","grt","Garo",TRUE,90.462,25.2954,"Eurasia","Asia","threatened","Sino-Tibetan",NA
"gata1239","gaq","Gata'",FALSE,82.984,18.6076,"Eurasia","Asia","shifting","Austroasiatic","anderson_gregory_d_s_gta_2008"
"gavi1246","gvo","Gavião Do Jiparaná",FALSE,-61.6752,-10.7235,"South America","Americas","shifting","Tupian","moore_denny_syntax_1984"
"gawa1247","gwt","Gawar-Bati",FALSE,71.5428,35.1982,"Eurasia","Asia","threatened","Indo-European","morgenstierne_georg_notes_1950"
"gaww1239","gwd","Ale-Gawwada",FALSE,37.2737,5.37869,"Africa","Africa","not endangered","Afro-Asiatic","prisecaru_luminita_brief_2015"
"gayo1244","gay","Gayo",FALSE,97.3456,4.3733,"Papunesia","Asia","threatened","Austronesian","eades_grammar_2005"
"gazi1243","gzi","Gazi",FALSE,49.4553,34.0357,"Eurasia","Asia","shifting","Indo-European","borjian_habib_judeo-isfahani_2019"
"gbag1258","gbr","Gbagyi",FALSE,6.90495,9.29842,"Africa","Africa","not endangered","Atlantic-Congo","hyman_larry_m_essentials_1970"
"gbar1246","gby","Gbari",FALSE,7.10757,8.46411,"Africa","Africa","not endangered","Atlantic-Congo","rosendall_e_p_aspects_1998"
"gbay1281","gmm","Gbaya-Mbodomo",FALSE,14.606865,4.800365,"Africa","Africa","not endangered","Atlantic-Congo","boyd_virginia_l_phonology_1997"
"gbay1287","gbp","Gbaya-Bossangoa",FALSE,17.645,6.61896,"Africa","Africa","not endangered","Atlantic-Congo","samarin_william_j_gbeya_1966"
"geba1237","kvq","Geba Karen",TRUE,96.9492,19.4991,"Eurasia","Asia","not endangered","Sino-Tibetan","shee_descriptive_2008"
"geda1237","gdd","Gedaged",FALSE,145.781,-5.18175,"Papunesia","Pacific","not endangered","Austronesian","dempwolff_otto_grammar_nodate"
"gede1246","drs","Gedeo",FALSE,38.2395,6.18469,"Africa","Africa","not endangered","Afro-Asiatic","eyob_kelemwork_wolde_grammar_2015"
"geez1241","gez","Geez",FALSE,40.6821,10.1342,"Africa","Africa","extinct","Afro-Asiatic","butts_aaron_michael_geez_2019"
"gela1263","nlg","Gela",FALSE,160.186,-9.04587,"Papunesia","Pacific","not endangered","Austronesian","crowley_terry_gela_2002"
"gela1264","giu","Gelao Mulao",TRUE,107.239537,26.574605,"Eurasia",NA,"nearly extinct","Tai-Kadai",NA
"genn1243","gej","Gen",FALSE,1.67727,6.25971,"Africa","Africa","not endangered","Atlantic-Congo","noauthor_topics_1997"
"gese1240","ges","Geser-Gorom",FALSE,130.701,-3.8016,"Papunesia","Asia","not endangered","Austronesian","chlenova_svetlana_zametki_2010"
"ghad1239","gha","Ghadames",FALSE,10.0165,30.1168,"Africa","Africa","shifting","Afro-Asiatic","kossmann_grammatical_2013"
"ghan1242","ghn","Ghanongga",FALSE,156.552,-8.02035,"Papunesia","Pacific","not endangered","Austronesian","chambers_mary_ruth_which_2009"
"ghan1244","gpe","Ghanaian Pidgin English",FALSE,-0.283641,5.793241,"Africa",NA,"not endangered","Indo-European","huber_magnus_ghanaian_2013"
"ghar1239","gri","Ghari",FALSE,159.917,-9.4791,"Papunesia","Pacific","not endangered","Austronesian","ivens_grammar_1934"
"ghod1238","gdo","Godoberi",FALSE,46.2252,42.7428,"Eurasia","Europe","shifting","Nakh-Daghestanian","saidova_patimat_a_ghodoberi_2004"
"ghom1257","gho","Ghomara",FALSE,-4.6696,34.7979,"Africa","Africa","shifting","Afro-Asiatic","mourigh_khalid_grammar_2015"
"ghul1238","ghl","Uncunwee",FALSE,29.8122,11.6432,"Africa","Africa","shifting","Nubian","williams_robert_s_ghulfan_nodate"
"gida1247","gid","Gidar",FALSE,14.07845,9.874715,"Africa","Africa","not endangered","Afro-Asiatic","frajzyngier_grammar_2008"
"gila1241","glk","Gilaki",TRUE,49.8359,37.1344,"Eurasia","Asia","not endangered","Indo-European",NA
"gilb1244","gil","Gilbertese",TRUE,176.44,-1.34,"Papunesia","Pacific","not endangered","Austronesian",NA
"gily1242","niv","Nivkh",TRUE,140.681,52.59,"Eurasia","Asia","moribund",NA,"mattissen_dependent-head_2003"
"gimi1243","gim","Gimi (Eastern Highlands)",FALSE,145.214,-6.42097,"Papunesia","Pacific","not endangered","Nuclear Trans New Guinea","haiman_john_comparative_1980"
"gira1247","bbr","Girawa",FALSE,145.423,-5.35342,"Papunesia","Pacific","not endangered","Nuclear Trans New Guinea","gasaway_eileen_girawa_1992"
"giri1245",NA,"Girirra",TRUE,42.17,5.76,"Africa",NA,"not endangered","Afro-Asiatic","mekonnen_grammar_2015"
"giry1241","nyf","Giryama",FALSE,39.6648,-3.30638,"Africa","Africa","not endangered","Atlantic-Congo","taylor_william_ernest_giryama_1891"
"gito1238","toh","Gitonga",FALSE,35.1577,-23.7964,"Africa","Africa","not endangered","Atlantic-Congo","lanham_leonard_walter_study_1955"
"gitx1241","git","Gitxsan",FALSE,-128.08,55.09,"North America","Americas","moribund","Tsimshian","forbes_clarissa_persistent_2018"
"glav1244","glw","Glavda",FALSE,13.8652,11.1334,"Africa","Africa","not endangered","Afro-Asiatic","buba_bello_glavda_2007"
"goan1235","gom","Goan Konkani",FALSE,74.2098,15.2732,"Eurasia","Asia","not endangered","Indo-European","bhide_vasudha_v_descriptive_1982"
"godi1239","god","Godié",FALSE,-5.82696,5.3944,"Africa","Africa","not endangered","Atlantic-Congo","kokora_dago_pascal_studies_1976"
"godw1241","gdx","Godwari",FALSE,72.846,24.885,"Eurasia","Asia","threatened","Indo-European","baldota_an_descriptive_1982"
"goem1240","ank","Goemai",FALSE,9.72453,8.74455,"Africa","Africa","threatened","Afro-Asiatic","hellwig_grammar_2011"
"gofa1235","gof","Gofa",FALSE,37.05,6.57645,"Africa",NA,"not endangered","Ta-Ne-Omotic","cheru_sellassie_documentation_2015"
"gogo1263","gog","Gogo",FALSE,35.4807,-6.35951,"Africa","Africa","not endangered","Atlantic-Congo","cordell_oliver_t_gogo_1941"
"goli1247","gvf","Golin",FALSE,144.8505,-6.2249,"Papunesia","Pacific","not endangered","Nuclear Trans New Guinea","evans_nicholas_materials_2005"
"gonj1241","gjn","Gonja",FALSE,-0.72757,8.48801,"Africa","Africa","not endangered","Atlantic-Congo","painter_gonja_1970"
"goon1238","gni","Gooniyandi",FALSE,126.351,-18.4073,"Australia","Pacific","moribund","Bunaban","mcgregor_functional_1990"
"goro1270","gow","Gorowa",FALSE,35.7996,-4.23575,"Africa","Africa","not endangered","Afro-Asiatic","harvey_andrew_gorwaa_2018"
"goth1244","got","Gothic",FALSE,29.9786,46.9304,"Eurasia",NA,"extinct","Indo-European","jasanoff_jay_h_gothic_2008"
"gour1243","gux","Gourmanchéma",FALSE,1.28489,11.6711,"Africa","Africa","not endangered","Atlantic-Congo","beckett_eleanor_linguistic_1974"
"goza1238","goz","Gozarkhani",FALSE,50.6987,36.4133,"Eurasia","Asia","shifting","Indo-European","noauthor_dialect_1931"
"gras1249","kbk","Grass Koiari",FALSE,147.437,-9.51218,"Papunesia","Pacific","shifting","Koiarian","dutton_dictionary_2003"
"gree1278","giq","Hagei Gelao",TRUE,104.698,22.5632,"Eurasia","Asia","moribund","Tai-Kadai",NA
"gren1247","gcl","Grenadian Creole English",FALSE,-61.6989,12.0067,"North America","Americas","not endangered","Indo-European","kephart_broken_2000"
"guad1242","gcf","Guadeloupean Creole French",FALSE,-61.405914,16.304875,"North America","Americas","not endangered","Indo-European","colot_serge_guadeloupean_2013"
"guah1255","guh","Guahibo",FALSE,-68.9839,5.81736,"South America","Americas","threatened","Guahiboan","kondo_victor_f_tagmemic_1976"
"guai1237",NA,"Guaicurian",FALSE,-110.3,24.1666666667,"North America",NA,"extinct",NA,"zamponi_raoul_fragments_2004"
"guan1269","gvc","Kotiria",FALSE,-69.5705,1.07554,"South America","Americas","shifting","Tucanoan","stenzel_reference_2013"
"guar1293","gae","Baniva de Maroa",TRUE,-66.922505,1.80835,"South America","Americas","shifting","Arawakan",NA
"guat1253","gta","Guató",FALSE,-57.2897,-17.8696,"South America","Americas","nearly extinct",NA,"pimentel_palacio_adair_aspects_1986"
"gube1234",NA,"Gubeeher-Gufangor-Gubelor",FALSE,-17.19,12.56,"Africa",NA,"shifting","Atlantic-Congo","cobbinah_alexander_yao_nominal_2013"
"gude1246","gde","Gude",FALSE,13.403,10.2138,"Africa","Africa","not endangered","Afro-Asiatic","hoskison_james_t_grammar_1983"
"guer1241","ngu","Central Guerrero Nahuatl",TRUE,-99.0023,17.8583,"North America","Americas","not endangered","Uto-Aztecan",NA
"guer1243","amu","Guerrero Amuzgo",FALSE,-98.18953,16.77226,"North America","Americas","threatened","Otomanguean","hart_helen_l_hierarchical_1957"
"gugu1253","gdc","Gugu Badhun",FALSE,144.46,-18.4921,"Australia","Pacific","nearly extinct","Pama-Nyungan","sutton_peter_john_gugu-badhun_1973"
"gugu1255","kky","Guugu Yimidhirr",FALSE,144.831,-14.9424,"Australia","Pacific","moribund","Pama-Nyungan","haviland_john_guugu_1979"
"guhu1244","ghs","Guhu-Samane",FALSE,147.228,-7.99922,"Papunesia","Pacific","not endangered","Nuclear Trans New Guinea","gamudze_titus_tentative_2013"
"guia1246","gcr","Guianese Creole French",FALSE,-52.7336,4.94804,"South America","Americas","not endangered","Indo-European","jennings_william_inheritance_2018"
"guib1244","zgn","Guibian Zhuang",TRUE,107.184,23.6818,"Eurasia","Asia","not endangered","Tai-Kadai","luo_zhuang_2004"
"guib1245","zgb","Guibei Zhuang",TRUE,107.184,23.6818,"Eurasia","Asia","not endangered","Tai-Kadai",NA
"guiq1238","gqi","Guiqiong",TRUE,102.128,30.4803,"Eurasia","Asia","shifting","Sino-Tibetan",NA
"guja1252","guj","Gujarati",FALSE,71.0962,22.687,"Eurasia","Asia","not endangered","Indo-European","modi_parsi_2011"
"guja1253","gju","Gujari",FALSE,73.1461,34.3768,"Eurasia","Asia","not endangered","Indo-European","losey_wayne_e_writing_2002"
"gulf1241","afb","Gulf Arabic",FALSE,47.5,30.17,"Eurasia","Asia","not endangered","Afro-Asiatic","al-bahri_khaled_waleed_grammar_2014"
"gulf1242",NA,"Gulf Coast French",FALSE,NA,NA,"North America",NA,NA,"Indo-European","moreton_rebecca_larche_mississippi_2001"
"gull1241","gul","Sea Island Creole English",FALSE,-79.6036,33.6632,"North America","Americas","not endangered","Indo-European","klein_thomas_b_gullah_2013"
"guma1254","gvs","Gumawana",TRUE,150.762,-9.28497,"Papunesia","Pacific","not endangered","Austronesian","ross_position_1992"
"gumu1244","guk","Northern Gumuz",FALSE,35.93,11.05,"Africa","Africa","not endangered","Gumuz","bender_lionel_m_gumuz_1979"
"gunn1250","guw","Gun",FALSE,2.76767,6.48529,"Africa","Africa","not endangered","Atlantic-Congo","aboh_enoch_syntax_1999"
"gunw1252","gup","Bininj Kun-Wok",FALSE,133.358,-12.3398,"Australia","Pacific","shifting","Gunwinyguan","evans_nicholas_bininj_2003"
"gupa1247","guf","Gupapuyngu",FALSE,135.337,-12.2868,"Australia","Pacific","shifting","Pama-Nyungan","wal_anita_van_der_structure_1992"
"gura1251","hac","Gurani",FALSE,44.4956,36.8377,"Eurasia","Asia","threatened","Indo-European","mahmoudveysi_parvin_hawrami_2018"
"gura1252","gge","Guragone",FALSE,134.09501,-12.66855,"Australia","Pacific","nearly extinct","Maningrida","green_rebecca_grammar_1995"
"gurd1238","gdj","Gurdjar",FALSE,141.145,-17.1653,"Australia","Pacific","nearly extinct","Pama-Nyungan","black_paul_kurtjar_1986"
"gure1255","gnr","Gureng Gureng",FALSE,151.175,-25.3893,"Australia","Pacific","nearly extinct","Pama-Nyungan","brasch_sarah_l_gure_1975"
"guri1247","gue","Gurindji",FALSE,130.379,-17.0329,"Australia","Pacific","shifting","Pama-Nyungan",NA
"guru1261","gvr","Gurung",TRUE,86.28988,27.41687,NA,"Asia","shifting","Sino-Tibetan","glover_conversational_1979"
"guru1271","grd","Guruntum-Mbaaru",FALSE,10.162,9.87332,"Africa","Africa","threatened","Afro-Asiatic","haruna_grammatical_2003"
"gusi1247","guz","Gusii",FALSE,34.76751,-0.78872,"Africa","Africa","not endangered","Atlantic-Congo","ongarora_david_ogoti_bantu_2008"
"gwen1239","gwe","Gweno",FALSE,37.6827,-3.68407,"Africa","Africa","shifting","Atlantic-Congo","philippson_gerard_gweno_2000"
"gwic1235","gwi","Gwich'in",FALSE,-142.963,67.4307,"North America","Americas","moribund","Athabaskan-Eyak-Tlingit","firth_william_g_gwichlanguage_1992"
"haaa1252","haq","Ha",FALSE,30.4894,-3.77873,"Africa","Africa","not endangered","Atlantic-Congo","harjula_ha_2004"
"hadi1240","hdy","Hadiyya",FALSE,37.7577,7.57377,"Africa","Africa","not endangered","Afro-Asiatic","garkebo_tadesse_sibamo_documentation_2014"
"hado1235","hoj","Hadothi",FALSE,75.8366,24.8546,"Eurasia","Asia","not endangered","Indo-European","dwivedi_grammar_2012"
"hadr1236","ayh","Hadrami Arabic",FALSE,48.6524,15.4468,"Eurasia","Asia","not endangered","Afro-Asiatic","al-saqqaf_abdullah_hassan_shaikh_descriptive_1999"
"hadz1240","hts","Hadza",FALSE,35.0458,-3.83115,"Africa","Africa","shifting",NA,"sands_bonny_hadza_2013"
"hait1244","hat","Haitian",FALSE,-72.136115,18.795135,"North America","Americas","not endangered","Indo-European","syea_french_2017"
"haka1240","cnh","Haka Chin",TRUE,92.8208,22.8735,"Eurasia","Asia","shifting","Sino-Tibetan",NA
"hakk1236","hak","Hakka Chinese",TRUE,116,25,"Eurasia","Asia","not endangered","Sino-Tibetan",NA
"hala1252","hal","Halang",FALSE,107.457,14.7862,"Eurasia","Asia","threatened","Austroasiatic","cooper_james_bai_1971"
"halb1244","hlb","Halbi",TRUE,81.3742,20.3081,"Eurasia","Asia","not endangered","Indo-European",NA
"halh1238","khk","Halh Mongolian",FALSE,106.289,48.324,"Eurasia","Asia","shifting","Mongolic","janhunen_mongolian_2012"
"hali1244","hla","Halia",FALSE,154.662,-5.26603,"Papunesia","Pacific","not endangered","Austronesian","summer_institute_of_linguistics_halia_1987"
"halk1245","hur","Halkomelem",TRUE,-122.029,48.0751,"North America","Americas","shifting","Salishan","suttles_musqueam_2004"
"hame1242","amf","Hamer-Banna",FALSE,36.5176,5.06515,"Africa","Africa","threatened","South Omotic","petrollino_sara_grammar_2016"
"hamt1247","hmt","Hamtai",FALSE,146.227,-7.54975,"Papunesia","Pacific","not endangered","Angan","oates_kapau_1968"
"hang1263","wos","Hanga Hundi",FALSE,142.849,-3.90364,"Papunesia","Pacific","threatened","Ndu","wendel_thomas_dewayne_preliminary_1993"
"hani1248","hni","Hani",TRUE,102.851673333,22.67753,"Eurasia","Asia","not endangered","Sino-Tibetan",NA
"hann1241","haa","Han",FALSE,-140.352,64.5002,"North America","Americas","nearly extinct","Athabaskan-Eyak-Tlingit","reuse_willem_joseph_de_han_2010"
"hano1246","lml","Hano",FALSE,168.167,-15.5432,"Papunesia","Pacific","not endangered","Austronesian","vari-bogiri_hannah_phonology_2011"
"hara1271","har","Harari",FALSE,42.1332,9.30485,"Africa","Africa","not endangered","Afro-Asiatic","mitiku_cherinet_beniam_harari_2013"
"haro1237","hro","Haroi",TRUE,108.995,13.2201,"Eurasia","Asia","not endangered","Austronesian","goschnick_haroi_1977"
"hary1238","bgc","Haryanvi",FALSE,76.0432,29.0166,"Eurasia","Asia","not endangered","Indo-European","singh_jag_deva_grammatical_nodate"
"harz1239","hrz","Harzani",FALSE,48.2848,38.4341,"Eurasia","Asia","threatened","Indo-European","karimzadeh_jafar_verbal_1372"
"hass1238","mey","Hassaniyya",FALSE,-2.40278,20.1464,"Africa","Africa","nearly extinct","Afro-Asiatic","taine-cheikh_catherine_hassaniya_2006"
"hata1243","had","Hatam",TRUE,134.037,-1.13531,"Papunesia","Asia","threatened","Hatam-Mansim",NA
"haus1257","hau","Hausa",TRUE,8.7804,11.1513,"Africa","Africa","not endangered","Afro-Asiatic","miyamoto_ritsuko_note_1989"
"hava1248","yuf","Havasupai-Walapai-Yavapai",FALSE,-113.385,35.6302,"North America","Americas","shifting","Cochimi-Yuman","watahomigie_hualapai_1982"
"hawa1245","haw","Hawaiian",FALSE,-155.43,19.6297,"Papunesia","Americas","moribund","Austronesian","elbert_hawaiian_2001"
"hawa1247","hwc","Hawai'i Creole English",FALSE,-155.437,19.6287,"North America","Americas","not endangered","Indo-European","velupillai_viveka_hawaii_2013"
"hawk1239","xda","Hawkesbury",FALSE,150.4952383,-33.11470744,"Australia",NA,"extinct","Pama-Nyungan","jones_darkinyung_2008"
"haya1250","hay","Haya",FALSE,31.4846,-1.70878,"Africa","Africa","not endangered","Atlantic-Congo","byarushengo_haya_1977"
"haza1239","haz","Hazaragi",FALSE,64.5105,33.3708,"Eurasia","Asia","not endangered","Indo-European","dulling_hazaragi_1973"
"hdii1240","xed","Hdi",FALSE,13.6881,10.942,"Africa","Africa","not endangered","Afro-Asiatic","frajzyngier_grammar_2002"
"hebr1245","heb","Modern Hebrew",TRUE,35.0179,31.1056,"Eurasia","Asia","not endangered","Afro-Asiatic","keenan_handbook_2012"
"heil1246","hei","Heiltsuk-Oowekyala",FALSE,-127.221,51.7045,"North America","Americas","nearly extinct","Wakashan","rath_john_c_practical_1981"
"hela1238","scp","Lamjung-Melamchi Yolmo",TRUE,85.6289,27.9212,"Eurasia","Asia","shifting","Sino-Tibetan","gawne_sketch_2016"
"here1253","her","Herero",FALSE,20.5655,-21.0231,"Africa","Africa","threatened","Atlantic-Congo","mohlig_reference_2008"
"hewa1241","ham","Hewa",FALSE,142.551,-5.03635,"Papunesia","Pacific","shifting","Sepik","paul_vollrath_hewa_1981"
"hezh1244",NA,"Hezhou",TRUE,NA,NA,"Eurasia",NA,NA,"Sino-Tibetan","dwyer_northwest_1995"
"hida1246","hid","Hidatsa",FALSE,-102.528,47.7534,"North America","Americas","nearly extinct","Siouan","park_indrek_grammar_2012"
"hier1240","hlu","Hieroglyphic Luwian",FALSE,NA,NA,"Eurasia",NA,"extinct","Indo-European","payne_hieroglyphic_2014"
"high1242","chd","Highland Oaxaca Chontal",FALSE,-95.7301,16.1849,"North America","Americas","shifting","Tequistlatecan","turner_paul_raymond_highland_1966"
"high1276","poi","Highland Popoluca",TRUE,-94.9109,18.198,"North America","Americas","threatened","Mixe-Zoque",NA
"high1278","azz","Highland Puebla Nahuatl",FALSE,-97.5556,20.1554,"North America","Americas","not endangered","Uto-Aztecan","robinson_dow_f_aztec_1970"
"hija1235","acw","Hijazi Arabic",FALSE,38.9237,22.8346,"Eurasia","Asia","not endangered","Afro-Asiatic","al-azraqi_m_aspects_1998"
"hili1240","hil","Hiligaynon",FALSE,122.974,10.4018,"Papunesia","Asia","not endangered","Austronesian","spitz_hiligaynonilonggo_2001"
"hind1269","hin","Hindi",TRUE,77,25,"Eurasia","Asia","not endangered","Indo-European","toyota_when_2009"
"hinu1240","gin","Hinuq",FALSE,45.8064,42.4502,"Eurasia","Europe","shifting","Nakh-Daghestanian","forker_grammar_2013"
"hitt1242","hit","Hittite",FALSE,35,40,"Eurasia",NA,"extinct","Indo-European","watkins_calvert_hittite_2008"
"hixk1239","hix","Hixkaryána",FALSE,-58.80153,-0.16265,"South America","Americas","shifting","Cariban","derbyshire_hixkaryana_1985"
"hlai1239","lic","Hlai",TRUE,109.459,18.8062,"Eurasia","Asia","not endangered","Tai-Kadai","ostapirat_hlai_2008"
"hmar1241","hmr","Hmar",TRUE,93.5497,24.7534,"Eurasia","Asia","threatened","Sino-Tibetan",NA
"hmon1264","hnj","Hmong Njua",TRUE,101.95,22.5638,"Eurasia","Asia","not endangered","Hmong-Mien","ranard_hmong_nodate"
"hmon1333","mww","Hmong Daw",TRUE,103.164,21.5461,"Eurasia","Asia","not endangered","Hmong-Mien","mottin_ements_1978"
"hoaa1235","huc","Amkoe",FALSE,24.69828,-23.93447,"Africa","Africa","moribund","Kxa","collins_chris_grammar_2014"
"hoav1238","hoa","Hoava",FALSE,157.595,-8.19679,"Papunesia","Pacific","shifting","Austronesian","davis_grammar_2003"
"hoch1243","win","Ho-Chunk",FALSE,-88.5,43.5,"North America","Americas","shifting","Siouan","marino_mary_carolyn_dictionary_1968"
"homs1234",NA,"Western Armenian",FALSE,NA,NA,"Eurasia",NA,"threatened","Indo-European","sakayan_western_2012"
"hooo1248","hoc","Ho",FALSE,87.1188,23.9596,"Eurasia","Asia","threatened","Austroasiatic","pucilowski_anna_topics_2013"
"hopi1249","hop","Hopi",FALSE,-110.535,35.7653,"North America","Americas","shifting","Uto-Aztecan","jeanne_leanne_m_aspects_1978"
"horp1239","ero","Horpa",TRUE,101.72,31.1026,"Eurasia","Asia","threatened","Sino-Tibetan",NA
"hote1245","hot","Hote",FALSE,146.869,-7.07708,"Papunesia","Pacific","not endangered","Austronesian","muzzey_marguerite_hote_1979"
"hozo1236","hoz","Hozo",FALSE,34.60448,9.38875,"Africa","Africa","shifting","Blue Nile Mao","kassa_getachew_brief_2014"
"hran1239","hra","Hrangkhol",FALSE,93.351,24.4559,"Eurasia","Asia","threatened","Sino-Tibetan","soppitt_c_a_short_1887"
"hree1244","hre","Hre",FALSE,108.694,14.6308,"Eurasia","Asia","not endangered","Austroasiatic",NA
"hrus1242","hru","Hruso",FALSE,92.63,27.27,"Eurasia","Asia","shifting",NA,"simon_ivan_m_aka_1993"
"huaa1248","nmn","East Taa",FALSE,20.79583,-24.20022,"Africa","Africa","shifting","Tuu","traill_anthony_trilingual_2018"
"hual1241","qub","Huallaga Huánuco Quechua",FALSE,-75.594,-9.57135,"South America","Americas","threatened","Quechuan","weber_grammar_1989"
"huam1247","hub","Huambisa",FALSE,-77.9797,-3.99109,"South America","Americas","shifting","Chicham","pena_jaime_g_grammar_2015"
"huar1255","var","Huarijio",FALSE,-108.437,27.8685,"North America","Americas","shifting","Uto-Aztecan","noauthor_grammar_2005"
"huas1242","hus","Huastec",TRUE,-98.5028,21.6153,"North America","Americas","shifting","Mayan",NA
"huau1237","hud","Huaulu",TRUE,129.202,-2.95835,"Papunesia","Asia","threatened","Austronesian","valeri_forest_2000"
"huau1238","mau","Huautla Mazatec",FALSE,-96.724,18.2556,"North America","Americas","threatened","Otomanguean","pike_eunice_v_huautla_1967"
"huay1241","qvw","Huaylla Wanca Quechua",FALSE,-75.2055,-12.1809,"South America","Americas","not endangered","Quechuan","floyd_rick_structure_1993"
"huba1236","hbb","Huba",FALSE,13.139,10.3544,"Africa","Africa","not endangered","Afro-Asiatic","muazu_grammar_2009"
"hueh1236","tee","Huehuetla Tepehua",TRUE,-97.9347,20.6189,"North America","Americas","shifting","Totonacan","kung_descriptive_2007"
"huic1243","hch","Huichol",FALSE,-104.062,21.954,"North America","Americas","threatened","Uto-Aztecan","bierge_stefanie_ramos_clause_2017"
"huiz1242","czh","Hui Chinese",TRUE,118.232,29.7646,"Eurasia","Asia","not endangered","Sino-Tibetan",NA
"hula1239","hul","Hula",FALSE,147.705,-9.99427,"Papunesia","Pacific","not endangered","Austronesian","short_lillian_mary_theakston_phonetics_1938"
"hula1244","huy","Hulaulá",FALSE,43.4865,31.9111,"Eurasia","Asia","shifting","Afro-Asiatic","khan_jewish_2009"
"huli1244","hui","Huli",FALSE,142.963,-5.97212,"Papunesia","Pacific","not endangered","Nuclear Trans New Guinea","lomas_gabe_he_1988"
"humb1243","hmb","Humburi Senni Songhay",FALSE,-1.69301,15.2948,"Africa","Africa","not endangered","Songhay","heath_jeffrey_grammar_2014"
"hung1274","hun","Hungarian",TRUE,19.6555271429,46.9068585714,"Eurasia","Europe","moribund","Uralic","csirmaz_hungarian_2010"
"hung1275","hnu","Hung",TRUE,104.772,18.7849,"Eurasia","Asia","shifting","Austroasiatic",NA
"hung1276","nat","Hungworo",TRUE,6.3024,10.3243,"Africa","Africa","shifting","Atlantic-Congo",NA
"hung1278","hum","Hungana-Saamba",FALSE,18.4312,-3.69695,"Africa","Africa","threatened","Atlantic-Congo","takizala_alexis_studies_1974"
"huns1239","dud","Hun-Saare",FALSE,5.07312,10.7898,"Africa","Africa","not endangered","Atlantic-Congo","bendor-samuel_duka_1973"
"hunz1247","huz","Hunzib",FALSE,46.1369,42.0808,"Eurasia","Europe","shifting","Nakh-Daghestanian","berg_grammar_1995"
"hupa1239","hup","Hupa",TRUE,-123.68,41.0982,"North America","Americas","nearly extinct","Athabaskan-Eyak-Tlingit",NA
"hupd1244","jup","Hupdë",FALSE,-69.8359,0.58622,"South America","Americas","shifting","Nadahup","epps_grammar_2008"
"hurr1240","xhu","Hurrian",FALSE,43.3154,40.7339,"Eurasia",NA,"extinct","Hurro-Urartian","wilhelm_gernot_hurrian_2008"
"hutt1235","geh","Hutterite German",FALSE,-97,40,"North America","Americas","not endangered","Indo-European","hoover_walter_b_hutterian_1997"
"iaai1238","iai","Iaai",FALSE,166.59,-20.6301,"Papunesia","Pacific","threatened","Austronesian","lynch_john_iaai_2002"
"iama1237","yml","Iamalele",FALSE,150.573,-9.45005,"Papunesia","Pacific","not endangered","Austronesian","beaumont_iamalele_1975"
"iatm1242","ian","Iatmul",FALSE,143.316,-4.30064,"Papunesia","Pacific","shifting","Ndu","jendraschek_gerd_grammar_2012"
"iauu1242","tmu","Iau",FALSE,137.69,-3.14537,"Papunesia","Asia","not endangered","Lakes Plain","bateman_janet_iau_1986"
"ibal1244","ibl","Ibaloi",FALSE,120.695,16.4263,"Papunesia","Asia","not endangered","Austronesian","ruffolo_roberta_topics_2005"
"iban1264","iba","Iban",TRUE,112.934,2.09041,"Papunesia","Asia","not endangered","Austronesian",NA
"ibat1238","ivb","Ibatan",FALSE,121.909,18.9398,"Papunesia","Asia","not endangered","Austronesian","maree_ibatan_2007"
"ibib1240","ibb","Ibibio",TRUE,7.86688,5.15279,"Africa","Africa","not endangered","Atlantic-Congo",NA
"icel1247","isl","Icelandic",FALSE,-19.0212,63.4837,"Eurasia","Europe","not endangered","Indo-European","hoskuldur_rainsson_syntax_2007"
"idaa1241","dbj","Ida'an",TRUE,118.515,5.29059,"Papunesia","Asia","threatened","Austronesian",NA
"idom1241","idu","Idoma",FALSE,7.71261,7.19139,"Africa","Africa","not endangered","Atlantic-Congo","abraham_idoma_1967"
