Glottocode,ISO,Language_name,CLF,Longitude,Latitude,Area,Continent,Status,Family,Citation
aari1239,aiw,Aari,FALSE,36.5721,5.95034,Africa,Africa,not endangered,South Omotic,NA
abad1241,kbt,Abadi,FALSE,146.992,-9.03389,Papunesia,Pacific,not endangered,Austronesian,NA
abar1238,mij,Mungbam,FALSE,10.2267,6.5805,Africa,Africa,shifting,Atlantic-Congo,NA
abau1245,aau,Abau,TRUE,141.324,-3.97222,Papunesia,Pacific,shifting,Sepik,NA
abaz1241,abq,Abaza,FALSE,42.7273,41.1214,Eurasia,Europe,threatened,Abkhaz-Adyge,NA
abee1242,aba,Abé,FALSE,-4.38497,5.59682,Africa,Africa,not endangered,Atlantic-Congo,NA
aben1249,abp,Abenlen Ayta,FALSE,120.2,15.4131,Papunesia,Asia,shifting,Austronesian,NA
abkh1244,abk,Abkhazian,FALSE,41.159115,43.056218,Eurasia,Asia,threatened,Abkhaz-Adyge,NA
abro1238,abr,Abron,FALSE,-2.50289,7.72094,Africa,Africa,not endangered,Atlantic-Congo,NA
abua1245,aah,Abu' Arapesh,FALSE,142.917031,-3.461612,Papunesia,NA,shifting,Nuclear Torricelli,Nekitel 1985
abui1241,abz,Abui,TRUE,124.588,-8.31058,Papunesia,Asia,shifting,Timor-Alor-Pantar,Kratochvíl 2007
abun1252,kgr,Abun,TRUE,132.416,-0.57073,Papunesia,Asia,shifting,NA,NA
acat1239,tpx,Acatepec Me'phaa,FALSE,-99.0602,17.1034,North America,Americas,not endangered,Otomanguean,Radin 1935
acha1249,acn,Longchuan Achang,TRUE,97.7438,24.3479,Eurasia,Asia,shifting,Sino-Tibetan,NA
acha1250,aca,Achagua,TRUE,-72.2005,4.38649,South America,Americas,shifting,Arawakan,NA
ache1245,acz,Acheron,FALSE,30.3187,10.8827,Africa,Africa,threatened,Narrow Talodi,NA
achi1257,ace,Achinese,TRUE,96.6032,3.90757,Eurasia,Asia,threatened,Austronesian,Asyik 1987
achu1247,acv,Achumawi,FALSE,-121.191,41.0979,North America,Americas,nearly extinct,Palaihnihan,Bauman 1980
acol1236,ach,Acoli,FALSE,32.5147,3.57738,Africa,Africa,not endangered,Nilotic,NA
adam1253,fub,Adamawa Fulfulde,FALSE,13.077338,8.140326,Africa,Africa,not endangered,Atlantic-Congo,NA
adan1247,ada,Adangme,FALSE,0.13243,5.9437,Africa,Africa,not endangered,Atlantic-Congo,NA
adan1248,adq,Adangbe,FALSE,0.727155,6.50546,Africa,Africa,threatened,Atlantic-Congo,Sprigge 1967
adan1251,adn,Adang,TRUE,124.448,-8.18958,Papunesia,Asia,shifting,Timor-Alor-Pantar,Haan 2001
adiv1239,ort,Kotia-Adivasi Oriya-Desiya,FALSE,82.8487,18.1046,Eurasia,Asia,not endangered,Indo-European,NA
adny1235,adt,Adnyamathanha,FALSE,138.671,-30.1451,Australia,Pacific,shifting,Pama-Nyungan,Schebeck 1974
adon1237,adr,Adonara,FALSE,123.159,-8.32027,Papunesia,Asia,not endangered,Austronesian,Michels 2017
adyg1241,ady,Adyghe,TRUE,39.33,44,Eurasia,Asia,threatened,Abkhaz-Adyge,Nikolaeva 2012
adze1240,adz,Adzera,FALSE,146.294,-6.39394,Papunesia,Pacific,threatened,Austronesian,NA
afar1241,aar,Afar,FALSE,41.8083,12.2281,Africa,Africa,not endangered,Afro-Asiatic,NA
afri1274,afr,Afrikaans,FALSE,30,-22,Africa,Africa,not endangered,Indo-European,NA
agar1252,agd,Agarabi,FALSE,145.917,-6.20604,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,NA
aghe1239,agq,Aghem,FALSE,10.0807,6.38956,Africa,Africa,not endangered,Atlantic-Congo,NA
aghu1254,ggr,Aghu Tharnggalu,FALSE,142.426,-13.735,Australia,Pacific,extinct,Pama-Nyungan,Jolly 1989
aghu1255,ahh,Aghu,FALSE,140.043,-6.34674,Papunesia,Asia,threatened,Nuclear Trans New Guinea,van den Heuvel 2016
aghw1237,xag,Aghwan,FALSE,47.126667,40.374444,Eurasia,NA,extinct,Nakh-Daghestanian,"Gippert, Schulze, Aleksidze and Mahe 2008"
agua1252,agu,Aguacateco,FALSE,-91.3153,15.3307,North America,Americas,threatened,Mayan,Larsen 1983
agua1253,agr,Aguaruna,FALSE,-77.9218,-5.30044,South America,Americas,threatened,Chicham,NA
agus1235,msm,Agusan Manobo,FALSE,125.742,8.62731,Papunesia,Asia,not endangered,Austronesian,NA
agut1237,agn,Agutaynen,FALSE,119.655,10.5328,Papunesia,Asia,not endangered,Austronesian,NA
ahan1243,aha,Ahanta,FALSE,-1.94657,4.85147,Africa,Africa,not endangered,Atlantic-Congo,NA
ahan1244,ahn,Àhàn,FALSE,6.00896,7.44139,Africa,Africa,shifting,Atlantic-Congo,Ogunmodimu 2015
aheu1239,thm,Thavung,FALSE,104.229,17.7655,Eurasia,Asia,shifting,Austroasiatic,Srisakorn 2008
ahom1240,aho,Ahom,TRUE,88.464,27.2778,Eurasia,Asia,extinct,Tai-Kadai,NA
aime1238,ail,Aimele,FALSE,142.656,-6.68656,Papunesia,Pacific,shifting,Bosavi,Aiton 2016
ainu1240,ain,Hokkaido Ainu,TRUE,142.46167,43.633654,Eurasia,Asia,nearly extinct,Ainu,Bugaeva 2012
ainu1251,aib,Ainu (China),FALSE,76.4209,39.2714,Eurasia,Asia,shifting,Turkic,NA
ajab1235,ajg,Aja (Benin),FALSE,1.64992,7.06634,Africa,Africa,not endangered,Atlantic-Congo,NA
ajie1238,aji,Ajië,FALSE,165.468,-21.3029,Papunesia,Pacific,not endangered,Austronesian,Lichtenberk 1978
ajyi1238,cpc,Ajyíninka Apurucayali,FALSE,-74.61947,-9.82364,South America,Americas,threatened,Arawakan,Payne 1981
akab1249,abj,Aka-Bea,FALSE,92.7818,12.3782,Eurasia,Asia,extinct,Great Andamanese,Man and Temple 1877
