Glottocode,ISO,Language_name,CLF,Longitude,Latitude,Area,Continent,Status,Family,Citation
akaj1239,akj,Aka-Jeru,FALSE,92.9504,13.1525,Eurasia,Asia,nearly extinct,Great Andamanese,Abbi 2012
akak1251,ack,Aka-Kora,FALSE,92.7466,12.0944,Eurasia,Asia,extinct,Great Andamanese,Yadav 1985
akan1250,aka,Akan,FALSE,-1.33254,6.34756,Africa,Africa,not endangered,Atlantic-Congo,NA
akaw1239,ake,Akawaio,FALSE,-60.862,6.16277,South America,Americas,threatened,Cariban,NA
akei1237,tsr,Akei,FALSE,166.767,-15.6377,Papunesia,Pacific,not endangered,Austronesian,Ray 1926
akha1245,ahk,Akha,TRUE,100.964,21.2309,Eurasia,Asia,not endangered,Sino-Tibetan,NA
akhv1239,akv,Akhvakh,FALSE,46.3037,42.4003,Eurasia,Europe,shifting,Nakh-Daghestanian,NA
akka1240,akk,Akkadian,FALSE,44.1,33.1,Eurasia,NA,extinct,Afro-Asiatic,Hasselbach-Andee 2019
akla1241,akl,Aklanon,FALSE,122.354,11.5543,Papunesia,Asia,not endangered,Austronesian,Chai 1971
akoo1248,bss,Akoose,FALSE,9.65522,4.9243,Africa,Africa,not endangered,Atlantic-Congo,NA
akoy1238,miw,Akoye,FALSE,145.669,-7.66067,Papunesia,Pacific,shifting,Angan,Whitney and Whitney 1991
akun1241,aqz,Akuntsu,FALSE,-60.9716,-12.8322,South America,NA,nearly extinct,Tupian,NA
alab1237,akz,Alabama,FALSE,-94.62848,30.76738,North America,Americas,shifting,Muskogean,Hardy 2005
alab1254,alw,Alaba-K'abeena,FALSE,38.1732,7.39014,Africa,Africa,not endangered,Afro-Asiatic,NA
alac1244,mim,Alacatlatzala Mixtec,FALSE,-98.4674,17.4944,North America,Americas,threatened,Otomanguean,Zylstra 1991
alag1248,wbj,Alagwa,FALSE,35.7231,-4.64148,Africa,Africa,shifting,Afro-Asiatic,NA
alam1246,amp,Alamblak,FALSE,143.316,-4.66307,Papunesia,Pacific,shifting,Sepik,NA
alaw1244,alh,Alawa,FALSE,134.282,-15.5458,Australia,Pacific,nearly extinct,Mangarrayi-Maran,NA
alba1269,bhk,Inland-Buhi-Daraga Bikol,FALSE,123.49,13.1989,Papunesia,Asia,NA,Austronesian,Fincke 2002
alek1238,gah,Alekano,FALSE,145.387,-6.03901,Papunesia,Pacific,threatened,Nuclear Trans New Guinea,NA
aleu1260,ale,Aleut,FALSE,-174.29,52.1228,North America,Americas,shifting,Eskimo-Aleut,Nagayama 2011
alge1239,arq,Algerian Arabic,FALSE,3.23033,35.4208,Africa,Africa,not endangered,Afro-Asiatic,Guerrero 2015
algo1255,alq,Algonquin,FALSE,-77.5258,47.3876,North America,Americas,threatened,Algic,Hanzeli 1969
alor1247,aol,Alorese,FALSE,124.264,-8.20382,Papunesia,Asia,not endangered,Austronesian,NA
alse1251,aes,Alsea-Yaquina,FALSE,-123.94,44.408,North America,Americas,extinct,NA,Frachtenberg 1918
alun1238,alp,Alune,TRUE,128.394,-3.11477,Papunesia,Asia,threatened,Austronesian,NA
alur1250,alz,Alur,FALSE,31.0016,2.36213,Africa,Africa,not endangered,Nilotic,NA
alut1245,alr,Alutor,FALSE,165.653,60.3844,Eurasia,Asia,moribund,Chukotko-Kamchatkan,NA
alya1239,aly,Alyawarr,FALSE,136.835,-21.0427,Australia,Pacific,threatened,Pama-Nyungan,NA
amah1246,amc,Amahuaca,FALSE,-72.3208,-10.2012,South America,Americas,moribund,Pano-Tacanan,NA
amam1246,unknow,Amam,FALSE,146.958832,-7.849821,Papunesia,NA,NA,Goilalan,Aki and Pennington 2013
aman1265,amn,Amanab,FALSE,141.178,-3.51516,Papunesia,Pacific,shifting,Border,NA
amap1240,amm,Ama (Papua New Guinea),FALSE,141.658,-4.20192,Papunesia,Pacific,threatened,Left May,Årsjö 1999
amar1271,amg,Amurdak,FALSE,132.878,-11.9876,Australia,Pacific,nearly extinct,Iwaidjan Proper,NA
amar1272,aie,Amara,FALSE,148.68,-5.55778,Papunesia,Pacific,shifting,Austronesian,Thurston 1996
amar1274,amr,Amarakaeri,TRUE,-70.5533,-12.4931,South America,Americas,shifting,Harakmbut,NA
amas1236,nyi,Ama (Sudan),FALSE,29.4332,12.0993,Africa,Africa,not endangered,Nyimang,NA
amba1265,amk,Ambai,FALSE,136.526,-1.88126,Papunesia,Asia,threatened,Austronesian,NA
ambo1250,abs,Ambonese Malay,TRUE,128.184,-3.71342,Papunesia,Asia,not endangered,Austronesian,van Minde 1997
ambu1247,abt,Ambulas,FALSE,143.059,-3.7801,Papunesia,Pacific,threatened,Ndu,NA
amdo1237,adx,Amdo Tibetan,TRUE,100.485,34.5177,Eurasia,Asia,not endangered,Sino-Tibetan,Dpal 2016
amel1241,aey,Amele,FALSE,145.687,-5.29126,Papunesia,Pacific,threatened,Nuclear Trans New Guinea,NA
amha1245,amh,Amharic,FALSE,39.543456,11.708182,Africa,Africa,not endangered,Afro-Asiatic,NA
amii1238,amy,Ami,FALSE,130.04,-13.5573,Australia,Pacific,nearly extinct,Western Daly,Ford 1998
amis1246,ami,Amis,TRUE,121.348,23.0917,Papunesia,Asia,threatened,Austronesian,NA
amoo1242,amo,Amo,FALSE,8.65405,10.3229,Africa,Africa,not endangered,Atlantic-Congo,di Luzio 1972/1973
anam1248,imi,Anamuxra,FALSE,144.991,-4.63762,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,Ingram 2001
anci1242,grc,Ancient Greek,FALSE,21.9129,39.8155,Eurasia,Europe,extinct,Indo-European,"Evert van Emde Boas, Rijksbaron, Huitink and de Bakker 2018"
anci1244,hbo,Ancient Hebrew,FALSE,35.1725,31.7761,Eurasia,Asia,extinct,Afro-Asiatic,Hornkohl 2019
anci1245,xna,Ancient North Arabian,FALSE,NA,NA,Eurasia,NA,extinct,Afro-Asiatic,Al-Jallad 2019
anda1280,hca,Andaman Creole Hindi,FALSE,92.738,11.676,Papunesia,Asia,not endangered,Indo-European,Sharma and Thakur 2005
anda1287,xaa,Andalusian Arabic,FALSE,NA,NA,Eurasia,NA,extinct,Afro-Asiatic,Corriente 2013
anei1239,aty,Aneityum,FALSE,169.825,-20.1864,Papunesia,Pacific,shifting,Austronesian,NA
anfi1235,myo,Anfillo,FALSE,34.647,8.568,Africa,Africa,shifting,Ta-Ne-Omotic,NA
anga1288,njm,Angami Naga,TRUE,93.8668,25.6841,Eurasia,Asia,threatened,Sino-Tibetan,Giridhar 1991
anga1290,agm,Angaataha,FALSE,146.352,-7.15012,Papunesia,Pacific,not endangered,Angan,NA
anga1292,akh,Angal Heneng,FALSE,143.478,-6.13347,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,Williams 1940
anga1293,age,Angal,FALSE,143.592,-6.0127,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,NA
angi1238,anp,Angika,FALSE,85.534,26.0047,Eurasia,Asia,threatened,Indo-European,Dasgupta 1978
angl1239,rme,Angloromani,FALSE,-78,39,North America,Americas,not endangered,Mixed Language,Smart and Crofton 1875
ango1254,agg,Angor,FALSE,141.199,-3.7167,Papunesia,Pacific,shifting,Senagi,NA
ango1258,aoa,Angolar,FALSE,6.59486,0.11438,Africa,Africa,not endangered,Indo-European,Maurer 2013
angu1242,awg,Anguthimri,FALSE,141.755,-12.395,Australia,NA,extinct,Pama-Nyungan,Crowley 1981
anii1245,blo,Anii,FALSE,1.60169,9.11127,Africa,Africa,threatened,Atlantic-Congo,NA
anii1246,hnh,//Ani,FALSE,22.9088,-19.0966,Africa,Africa,shifting,Khoe-Kwadi,Vossen 2000
anin1240,aoi,Anindilyakwa,TRUE,136.6415,-13.99904,Australia,Pacific,shifting,Gunwinyguan,NA
anip1235,ypn,Ani Phowa,TRUE,103.733,23.591,Eurasia,Asia,threatened,Sino-Tibetan,Pelkey 2004
anti1245,aig,Antigua and Barbuda Creole English,FALSE,-61.821863,17.068263,North America,Americas,not endangered,Indo-European,Farquhar 1974
anua1242,anu,Anuak,FALSE,34.0267,7.57714,Africa,Africa,not endangered,Nilotic,NA
anuf1239,cko,Anufo,FALSE,0.56021,10.2839,Africa,Africa,not endangered,Atlantic-Congo,NA
anut1237,aud,Anuta,FALSE,169.85,-11.61,Papunesia,Pacific,shifting,Austronesian,NA
anuu1241,anl,Anu,TRUE,98.5945,23.3394,Eurasia,Asia,threatened,Sino-Tibetan,NA
aona1235,njo,Ao Naga,FALSE,94.3824,26.3241,Eurasia,Asia,threatened,Sino-Tibetan,NA
aoua1234,aou,A'ou,TRUE,105.85,26.8,Eurasia,NA,nearly extinct,Tai-Kadai,"Li, Li and Luo 2014"
apal1237,xap,Apalachee,FALSE,NA,NA,North America,NA,extinct,Muskogean,Kimball 1987
apal1257,apy,Apalaí,FALSE,-54.7457,1.49792,South America,Americas,shifting,Cariban,NA
apat1240,apt,Apatani,TRUE,93.7284,27.1933,Eurasia,Asia,threatened,Sino-Tibetan,Post and Kanno 2013
apin1244,apn,Apinayé,FALSE,-47.6315,-6.10774,South America,Americas,shifting,Nuclear-Macro-Je,NA
apma1240,app,Apma,FALSE,168.189,-15.8559,Papunesia,Pacific,not endangered,Austronesian,NA
apma1241,kbx,Ap Ma,FALSE,144.085,-4.35147,Papunesia,Pacific,shifting,NA,Pryor 1990
apur1254,apu,Apurinã,FALSE,-66.7714,-8.21692,South America,Americas,shifting,Arawakan,NA
arak1252,akr,Araki,FALSE,166.952542,-15.632997,Papunesia,Pacific,nearly extinct,Austronesian,François 2002
aram1253,stk,Arammba,FALSE,141.445,-8.29593,Papunesia,Pacific,not endangered,Morehead-Wasur,NA
arao1248,aro,Araona,FALSE,-67.7293,-12.4242,South America,Americas,shifting,Pano-Tacanan,Emkow 2006
arap1274,arp,Arapaho,FALSE,-108.81,43.3879,North America,Americas,moribund,Algic,Cowell and Moss 2008
araw1276,arw,Lokono,FALSE,-56.9243,5.64295,South America,Americas,moribund,Arawakan,NA
arbo1245,arv,Arbore,FALSE,36.7986,4.92183,Africa,Africa,shifting,Afro-Asiatic,NA
arch1244,aqc,Archi,FALSE,46.8267,42.3239,Eurasia,Europe,shifting,Nakh-Daghestanian,NA
area1240,alu,'Are'are,FALSE,161.158,-9.20699,Papunesia,Pacific,not endangered,Austronesian,NA
aree1239,mwc,Are,FALSE,149.999,-9.67147,Papunesia,Pacific,not endangered,Austronesian,"Paisawa, Pagotto and Kale 1976"
areq1237,qxu,Arequipa-La Unión Quechua,FALSE,-72.6333,-15.1806,South America,Americas,not endangered,Quechuan,Courtney 1998
argo1244,agj,Argobba,FALSE,39.756,10.6596,Africa,Africa,threatened,Afro-Asiatic,NA
arhu1242,arh,Arhuaco,FALSE,-73.6363,10.7018,South America,Americas,threatened,Chibchan,"Frank, Paul 1990"
arib1241,laz,Aribwatsa,FALSE,146.991,-6.72266,Papunesia,Pacific,extinct,Austronesian,Holzknecht 1997
arif1239,aai,Arifama-Miniafia,FALSE,149.246,-9.15565,Papunesia,Pacific,shifting,Austronesian,"Oyabua, Urasabey and Sogiri 2015"
arig1246,aqg,Arigidi,FALSE,5.89556,7.56324,Africa,Africa,not endangered,Atlantic-Congo,Oshòdì 2011
arik1262,ari,Arikara,FALSE,-98.7158,40.6473,North America,Americas,nearly extinct,Caddoan,NA
ariz1237,unknow,Arizona Tewa,FALSE,-110.381389,35.836667,North America,NA,extinct,Kiowa-Tanoan,Kroskrity 1977
arop1242,aps,Arop-Sissano,FALSE,142.12,-3.06984,Papunesia,Pacific,not endangered,Austronesian,Whitacre 1986
arop1243,apr,Arop-Lokep,FALSE,147.103,-5.31671,Papunesia,Pacific,not endangered,Austronesian,NA
aros1241,aia,Arosi,FALSE,161.432,-10.2441,Papunesia,Pacific,not endangered,Austronesian,Lynch and Horoi 2002
arta1239,atz,Arta,FALSE,121.656,16.4185,Papunesia,Asia,nearly extinct,Austronesian,Kimoto 2014
ashe1272,prq,Ashéninka Perené,FALSE,-74.9153,-10.9777,South America,Americas,threatened,Arawakan,"Mihas, Elena 2010"
ashk1246,ask,Ashkun,FALSE,70.37453,34.84277,Eurasia,Asia,shifting,Indo-European,NA
asho1236,csh,Asho Chin,FALSE,93.5069,21.393,Eurasia,Asia,not endangered,Sino-Tibetan,NA
assa1263,asm,Assamese,TRUE,91.2932,26.0876,Eurasia,Asia,not endangered,Indo-European,Ojah 1995
assi1247,asb,Assiniboine,FALSE,-106.068,49.2923,North America,Americas,shifting,Siouan,Cumberland 2005
assy1241,aii,Assyrian Neo-Aramaic,TRUE,43,36.75,Eurasia,Asia,threatened,Afro-Asiatic,Stilo 2018
asur1254,asr,Asuri,FALSE,83.4562,21.5721,Eurasia,Asia,shifting,Austroasiatic,Hahn 1901
asut1235,asa,Asu (Tanzania),FALSE,37.8323,-4.17978,Africa,Africa,not endangered,Atlantic-Congo,NA
atak1252,aqp,Atakapa,FALSE,-93.0827,30.9121,North America,Americas,extinct,NA,Swanton 1929
atam1240,atd,Ata Manobo,FALSE,125.499,7.7789,Papunesia,Asia,not endangered,Austronesian,NA
atay1247,tay,Atayal,FALSE,121.388,24.5209,Papunesia,Asia,threatened,Austronesian,NA
atem1241,ate,Mand,FALSE,144.806,-5.08137,Papunesia,Pacific,nearly extinct,Nuclear Trans New Guinea,Daniels 2015
athp1241,aph,Athpariya,TRUE,87.3296,26.8794,Eurasia,Asia,shifting,Sino-Tibetan,NA
atii1237,atk,Ati,FALSE,122.512,11.1539,Papunesia,Asia,shifting,Austronesian,Pennoyer 1986/1987
atik1240,atj,Atikamekw,FALSE,-73.7989,47.9555,North America,Americas,threatened,Algic,Beland 1978
aton1241,aot,Atong (India),TRUE,90.658722,25.346508,Eurasia,Asia,shifting,Sino-Tibetan,NA
atsu1245,atw,Atsugewi,FALSE,-120.661,40.4271,North America,Americas,extinct,Palaihnihan,de Angulo and Freeland 1929
atzi1235,ocu,Atzingo Matlatzinca,FALSE,-99.9239,19.3871,North America,Americas,shifting,Otomanguean,Muntzel 1986
auuu1241,avt,Au,FALSE,142.105,-3.53277,Papunesia,Pacific,shifting,Nuclear Torricelli,NA
avat1244,avn,Avatime,FALSE,0.41314,6.8688,Africa,Africa,not endangered,Atlantic-Congo,NA
aves1237,ave,Avestan,FALSE,53.633,31.541,Eurasia,Asia,extinct,Indo-European,Karanjia 2005
avok1242,avu,Avokaya,FALSE,29.9379,4.38639,Africa,Africa,not endangered,Central Sudanic,NA
awab1243,awk,Awabakal,FALSE,151.43555,-33.12847,Australia,Pacific,extinct,Pama-Nyungan,Lissarrague 2006
awac1238,vwa,Ximeng-Menglian Awa,TRUE,99.4833,22.75,Eurasia,Asia,threatened,Austroasiatic,NA
awac1239,kwi,Awa-Cuaiquer,FALSE,-78.3401,1.21652,South America,Americas,threatened,Barbacoan,Ordóñez 1992
awad1243,awa,Awadhi,TRUE,82.4663,27.5907,Eurasia,Asia,not endangered,Indo-European,Barz and Diller 1985
awad1244,bcu,Awad Bing,FALSE,146.355,-5.59896,Papunesia,Pacific,not endangered,Austronesian,NA
awap1236,awb,Awa (Papua New Guinea),FALSE,145.714,-6.65534,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,Loving and McKaughan 1973
awar1248,awx,Awara,TRUE,146.372,-6.16986,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,NA
awar1249,aya,Awar,FALSE,144.836,-4.13554,Papunesia,Pacific,moribund,Lower Sepik-Ramu,Levy 2002
awet1244,awe,Awetí,FALSE,-53.391944,-12.381944,South America,Americas,shifting,Tupian,NA
awiy1238,auy,Awiyaana,FALSE,145.76,-6.54079,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,Marks 1974
awji1241,auj,Awjilah-Foqaha,FALSE,21.1819,29.2341,Africa,Africa,shifting,Afro-Asiatic,NA
awng1244,awn,Awngi,FALSE,36.6916,10.9819,Africa,Africa,not endangered,Afro-Asiatic,NA
awtu1239,kmn,Awtuw,FALSE,141.928,-3.53129,Papunesia,Pacific,shifting,Sepik,Feldman 1986
awut1241,afu,Awutu,FALSE,-0.59545,5.42441,Africa,Africa,shifting,Atlantic-Congo,NA
axiy1235,yix,Axi Yi,TRUE,103.713,24.6009,Eurasia,Asia,threatened,Sino-Tibetan,NA
ayab1239,ayd,Yintyinka-Ayabadhu,FALSE,142.893,-14.6652,Australia,Pacific,nearly extinct,Pama-Nyungan,Verstraete and Rigsby 2015
ayac1239,quy,Ayacucho Quechua,FALSE,-74.32246,-13.84714,South America,Americas,not endangered,Quechuan,Parker 1969
ayor1240,ayo,Ayoreo,FALSE,-60.217495,-19.220055,South America,Americas,shifting,Zamucoan,Bertinetto 2009
ayut1236,miy,Ayutla Mixtec,FALSE,-98.9916,16.8833,North America,Americas,threatened,Otomanguean,Hills 1990
azhe1235,yiz,Azhe,TRUE,103.441,24.405,Eurasia,Asia,not endangered,Sino-Tibetan,NA
baat1238,bba,Baatonum,FALSE,2.99607,9.63186,Africa,Africa,not endangered,Atlantic-Congo,NA
baba1264,bbw,Baba,FALSE,10.5216,6.11222,Africa,Africa,not endangered,Atlantic-Congo,NA
baba1266,bbk,Babanki,FALSE,10.2869,5.97863,Africa,Africa,not endangered,Atlantic-Congo,NA
baba1267,mbf,Baba Malay,TRUE,103.076,1.75414,Eurasia,Asia,nearly extinct,Austronesian,Lim 1988
baba1268,baa,Babatana,FALSE,157.149,-7.22281,Papunesia,Pacific,not endangered,Austronesian,NA
babi1235,bcr,Babine,TRUE,-126.41,55.0997,North America,Americas,moribund,Athabaskan-Eyak-Tlingit,Hargus 2007
babu1240,bzg,Babuza,FALSE,120.585,24.0017,Papunesia,Asia,extinct,Austronesian,Li 2005
bact1239,xbc,Bactrian,FALSE,NA,NA,Eurasia,NA,extinct,Indo-European,Gholami 2014
bada1257,bfq,Badaga,FALSE,76.5974,11.3094,Eurasia,Asia,shifting,Dravidian,NA
bade1248,bde,Bade,FALSE,10.6557,12.789,Africa,Africa,not endangered,Afro-Asiatic,NA
badi1246,bia,Badimaya,FALSE,117.246,-29.0647,Australia,Pacific,extinct,Pama-Nyungan,NA
bady1239,pbp,Jaad-Badyara,FALSE,-13.4759,12.6425,Africa,Africa,threatened,Atlantic-Congo,NA
bafa1247,bwt,Bafaw-Balong,FALSE,9.522,4.53307,Africa,Africa,not endangered,Atlantic-Congo,"Chia, Tanda and Neba 2011"
bafa1249,bfj,Bafanji,TRUE,10.4518,5.84612,Africa,Africa,not endangered,Atlantic-Congo,Kießling 2016
bafi1243,ksf,Bafia,FALSE,11.0982,4.72603,Africa,Africa,not endangered,Atlantic-Congo,NA
bafu1246,bfd,Bafut,FALSE,10.1194,6.14153,Africa,Africa,not endangered,Atlantic-Congo,NA
baga1272,bsp,Baga Sitemu,FALSE,-14.4756,10.4793,Africa,Africa,shifting,Atlantic-Congo,NA
baga1273,bgo,Baga Koga,FALSE,-13.947,10.1286,Africa,Africa,shifting,Atlantic-Congo,Relich 1973
bagi1246,bmi,Bagirmi,FALSE,14.769495,11.52392,Africa,Africa,not endangered,Central Sudanic,NA
bagr1243,bgq,Bagri,FALSE,71.453,28.6036,Eurasia,Asia,not endangered,Indo-European,NA
baha1256,yha,Baha Buyang,TRUE,104.449,23.0105,Eurasia,Asia,moribund,Tai-Kadai,NA
baha1258,bdw,Baham,FALSE,132.637,-3.10628,Papunesia,Asia,threatened,West Bomberai,Flassy 2002
baha1259,abv,Baharna Arabic,FALSE,50.580811,26.223615,Eurasia,Asia,not endangered,Afro-Asiatic,Holes 2015
baha1260,bah,Bahamas Creole English,FALSE,-77.390587,25.032149,North America,Americas,not endangered,Indo-European,Hackert 2013
bahi1252,bhj,Bahing,FALSE,86.3949,27.3323,Eurasia,Asia,nearly extinct,Sino-Tibetan,NA
bahn1262,bdq,Bahnar,FALSE,108.471,14.0476,Eurasia,Asia,not endangered,Austroasiatic,NA
baik1238,bkx,Baikeno,FALSE,124.256,-9.32991,Papunesia,Asia,threatened,Austronesian,NA
baim1244,bqh,Baima,TRUE,103.952,33.1001,Eurasia,Asia,shifting,Sino-Tibetan,NA
bais1246,bsw,Baiso,FALSE,37.7681,6.44892,Africa,Africa,shifting,Afro-Asiatic,NA
baja1265,bjs,Bajan,FALSE,-59.5346,13.1365,North America,Americas,not endangered,Indo-European,Fields 1995
baje1238,bjm,Bajelani,FALSE,42.9867,33.9498,Eurasia,Asia,threatened,Indo-European,MacKenzie 1956
baka1272,bkc,Baka (Cameroon),FALSE,13.7804,2.16013,Africa,Africa,threatened,Atlantic-Congo,NA
bakh1245,bqi,Bakhtiari,TRUE,49.7713,32.0163,Eurasia,Asia,not endangered,Indo-European,Anonby and Taheri-Ardali 2018
baki1244,bki,Baki,FALSE,168.165,-16.7096,Papunesia,Pacific,shifting,Austronesian,NA
bako1249,bkh,Bakoko,FALSE,9.99905,3.56518,Africa,Africa,not endangered,Atlantic-Congo,NA
bako1250,kme,Bakole,FALSE,8.97387,4.43654,Africa,Africa,shifting,Atlantic-Congo,Asobo 1989
bala1301,ble,Balanta-Kentohe,FALSE,-15.3221,11.8203,Africa,Africa,not endangered,Atlantic-Congo,NA
bala1302,bjt,Balanta-Ganja,FALSE,-15.6658,12.5382,Africa,Africa,not endangered,Atlantic-Congo,NA
bala1310,blw,Balangao,FALSE,121.272,17.0994,Papunesia,Asia,not endangered,Austronesian,NA
bala1311,sse,Balangingi,FALSE,121.686646,6.011614,Papunesia,Asia,not endangered,Austronesian,NA
bala1315,blz,Balantak,TRUE,123.289,-0.86809,Papunesia,Asia,not endangered,Austronesian,van den Berg and Busenitz 2012
bali1278,ban,Balinese,TRUE,115.075,-8.35714,Papunesia,Asia,not endangered,Austronesian,NA
balk1252,rmn,Balkan Romani,TRUE,21.17,42.67,Eurasia,Europe,not endangered,Indo-European,Cech and Heinschink 1996
balt1257,rml,Baltic Romani,FALSE,38,60,Eurasia,Europe,threatened,Indo-European,NA
